overall,reviewerID,asin,Predict
1,A36SXS4ME0K854,B000EM9CU8,0.0
4,A25QBCHO0KFT0P,B000V3ME6Y,3.2359033449091865
5,A3TMBYDFP1B9DM,B001GPUHZQ,0.32142857142857145
4,A1ZKGSDVP057L9,B00B95PWFS,0.24242424242424243
5,A7UPJYPAH73NC,B002SQ6K1M,0.0
5,A25QBCHO0KFT0P,B0058YKIA0,0.6593199696997252
4,A2ESXEVEQB37I3,B017GZJFV6,0.0
4,A1UINGIK3UG77D,B002SQ6K1M,0.0
4,A24U6WGBZ4P74W,B00B95PWFS,0.0
4,A35Q0RBM3YNQNF,B01B4OIJ62,0.0
4,A1NQK5MH9GTJ6S,B00B95PWFS,0.0
5,A1EMN4T3ROJDOO,B00B95PWFS,0.0
5,A6QG9LM5WL0AQ,B002SQ6K1M,0.0
4,A1NEIH01B5X6QL,B0010JREC2,0.0
4,A33PVCHCQ2BTN0,B001LFCHI6,0.0
3,A3VGAP2KLCBNBB,B0010JREC2,0.2
3,A3JV4PJZD5O4NJ,B00B95PWFS,0.0888123508452528
5,A1BK60GZ4QME6I,B01B4OIJ62,0.14705882352941177
4,A3PD8KD87AXNLD,B004SGZ610,0.0
3,AK3402G7FO7AY,B0058YKIA0,0.3793103448275862
3,A1XDQFM10Q1SMK,B00172O9NO,0.0
2,A1DW36J0ZTN8QY,B017GZJFV6,0.0
3,A6VPK7X53QNAQ,B00B95PWFS,0.375
5,A2G04D4QZAXL15,B00B95PWFS,0.0
3,AR2CNXO5LU4JP,B00B95PWFS,0.0
1,A100WO06OQR8BQ,B00PSFLL3M,0.08108108108108109
1,A1E0L2V60U8H0G,B00172O9NO,0.0
2,A11B61QBGHLQDN,B00PSFLL3M,0.0
5,A47Q26DA5037K,B000V3ME6Y,3.993878124377471
4,A33230MIA3W7G4,B00B95PWFS,0.0
4,AT53ZTTO707MB,B00MTUT834,0.0
5,A96JD9312DHWC,B00B95PWFS,0.0
2,A2OQYSTYR8SSVQ,B00B95PWFS,0.23517545479158303
1,A265IEMG2K5R4W,B000V3ME6Y,0.15384615384615385
4,A3GFK7F5IUF60X,B00B95PWFS,0.0
4,A3M3W5GV0HIQK4,B00B95PWFS,0.5588235294117647
5,A2QWEEYO8QLIMI,B00B95PWFS,0.19286558822873842
1,A1E0L2V60U8H0G,B000PHZ7HO,0.0
5,A1M1Y5UGONAW06,B001EGP680,0.0
1,A1E0L2V60U8H0G,B0015ZC1AQ,0.0
5,A3S5LMVBT8ZGWY,B01452YZOA,0.0
5,AO2AQRPPSTABB,B00MTUT834,0.0
5,A1SKQULOV77NT2,B01GDUM666,0.0
5,ACJ9N7ED37HXS,B00B95PWFS,0.0
5,A2ZGPAIV64KOYU,B01DSY86YG,0.5
5,A1BDARA133DP91,B00B95PWFS,0.0
5,A21I717LTVC1Y,B000Z5YFX8,0.0
4,AT28RL25Q2OLK,B00B95PWFS,0.12
5,A15T9G38F589KM,B001GPUHZQ,0.3023255813953488
4,ACJ9N7ED37HXS,B01DSY86YG,0.0
5,A1SKQULOV77NT2,B003BT6HNQ,0.0
2,A305XM71TF83CY,B000J10II4,0.0
5,A3C2JQC6R2K52C,B00ZY65RUI,0.35714285714285715
1,A305XM71TF83CY,B016KDZHCG,0.0
4,A2GPJR489OIH42,B017GZJFV6,0.21349312650209265
5,A2NICGGIGIFU22,B00MTUT834,0.0
1,A1E0L2V60U8H0G,B004IZA3YG,0.0
4,A2Q8GFSEUSGJ51,B000TUNMW4,0.2571428571428571
5,A3NHUQ33CFH3VM,B0025YVBG6,0.5833333333333334
5,A379IB3EYAEL5,B0058YKIA0,0.0
4,A1A25TP5D0L22V,B000V3ME6Y,0.14285714285714285
5,A7EK88GF8N40F,B00B95PWFS,0.5555555555555556
5,A17CBPANJ3G5T9,B00021CDQ6,0.0
5,A2CA0CFUZS89OG,B00203SDQS,0.43137254901960786
4,A194K60CWZ371J,B008XWXZ9U,0.0
3,A1IA0O3OYQO9LV,B001EGP680,0.0
3,A3G5MOHY1U635N,B00B95PWFS,0.16666666666666666
5,AIWSX8DYYGBJY,B00IMRC4SY,0.0
2,A33PVCHCQ2BTN0,B00PSFLL3M,0.0
5,A1JZFGZEZVWQPY,B01B4OIJ62,0.6434178217487342
4,A3M3W5GV0HIQK4,B001EGP680,0.5588235294117647
5,A2CA0CFUZS89OG,B010BJFQ2G,0.43137254901960786
5,A21B8AV7E3MPXE,B011JFR26Y,0.45454545454545453
5,A1DRM3JV6T5O6P,B01DOZ5AA2,0.0
1,A2CA0CFUZS89OG,B004UMYEIS,2.4389571448091765
5,A2CA0CFUZS89OG,B00203Q9B4,0.43137254901960786
5,A2CA0CFUZS89OG,B00DHO1EOC,0.43137254901960786
4,A1FUBPW8U2RYUY,B003YC8NS2,0.0
5,A7EK88GF8N40F,B0025YVBG6,5.0
3,A1LANNQ26C7MUT,B00EXW53GC,0.0
3,A2CA0CFUZS89OG,B004XMAVFA,1.5393276477017332
3,A2CA0CFUZS89OG,B00KYCLTCM,0.43137254901960786
5,A3OXRFCJI67IMN,B00DX7QL2S,0.05733751243781596
5,A2CA0CFUZS89OG,B00LCBRIW4,0.43137254901960786
4,A2L6BT1PVV9YN0,B00PSFLL3M,0.18421052631578946
5,AQYEEGNRXM0P1,B00DX7QL2S,0.14285714285714285
4,A2HNOQBIAAOZU,B01B4OIJ62,0.0
5,A3C2JQC6R2K52C,B01AZR97RE,0.35714285714285715
3,A13H5US9Z7L9M7,B01B4OIJ62,0.0
3,A33HIV8RXRDM88,B001O1K3I8,0.15151515151515152
4,A2YB7DLC3FOR7W,B00B95PWFS,0.15624999999999997
4,A32O98PFC3OP7K,B00DX7QL2S,0.0
3,A3Z9QN0RCOHEY,B00B95PWFS,0.0
5,A32O98PFC3OP7K,B0058YKIA0,0.0
1,AY1EF0GOH80EK,B00B95PWFS,0.0
5,A3VGHF7VNFBMCQ,B00CNE2GOO,0.45469882614642115
5,A2R80172BBNSTA,B00ZY65RUI,0.0
5,A3RZOPQ42Q50B1,B00DX7QL2S,0.0
5,A3VGHF7VNFBMCQ,B002K6AHQY,0.45469882614642115
3,A37UX46Q3OVSAC,B003BT6HMW,0.0
5,A13H5US9Z7L9M7,B0025YVBG6,0.0
5,ADFLBRY00Y70G,B002SQ6K1M,0.0
3,A21B8AV7E3MPXE,B01G2LF2VW,0.45454545454545453
5,A1X2B7H1P11DXH,B00DX7QL2S,0.6001349670088507
5,A1UC3OP4QI0RRU,B00B95PWFS,0.34995380234444495
4,A11OTLEDSW8ZXD,B017GZJFV6,0.0
5,A3EXIZWHSNVNME,B00B95PWFS,0.36585365853658536
5,A1X2B7H1P11DXH,B00ZY65RUI,0.6001349670088507
5,A2R1HUYHXV7H18,B0025YVBG6,0.9663745575954468
5,A2R1HUYHXV7H18,B00ZY9MZZU,0.28305069976623837
5,A56VIAK488876,B000J10II4,0.37037037037037035
3,AR9GZ8B7NJJPN,B01DSY86YG,0.0
5,A3A90CELVLOUP6,B01B4OIJ62,0.0
5,A235NA61RC6YC1,B001EGP680,0.0
5,A1NXA6Y1T9XDUM,B000J10II4,4.915946648145213
5,A2KWQ64TRHB3YH,B00B4F0LZ4,0.0
5,A3C2JQC6R2K52C,B0025YVBG6,0.35714285714285715
3,A16YMCFWGSFGS9,B0161ZC5GY,0.0
5,A56VIAK488876,B009G532FA,0.37037037037037035
4,A26BU3ZU0R5IPF,B01B4OIJ6M,0.0
4,APCSV85SWASN2,B00B95PWFS,0.0
5,A1I477ADGMLVJM,B0161ZC5GY,0.0
5,AJID2XYGNFOOT,B00AAR9I60,0.0
5,AJID2XYGNFOOT,B00NOZI1TU,0.0
5,A13BQX5F2A0CQF,B005CVGJFM,0.0
4,AQCYEZYS51OBC,B00DX7QL2S,0.0
3,A1DG75OT3Y49EM,B00II27SSO,3.24568417087473
5,AJID2XYGNFOOT,B00F6XZVXC,0.18628407477668427
4,A2VWE5SGNDS8HW,B00B95PWFS,0.0
5,A16AXQ11SZA8SQ,B00B4F0LZ4,0.0
5,A279A4Y2N1CQ26,B00B95PWFS,0.19411769046316077
5,AZ9N3928BGQ0E,B00B95PWFS,0.21739130434782608
